id,type,placement,source_filename,organized_path,title,note,status
AF25,figure,appendix,q3_paper_cost_green_scatter.png,outputs/report_assets/appendix_figures/q3_paper_cost_green_scatter.png,Q3 吨氨成本与绿电比例关系散点图,附录图，补充展示吨氨成本与总用电量绿电比例关系。,OK
AF3,figure,appendix,q1_grid_interaction.png,outputs/report_assets/appendix_figures/q1_grid_interaction.png,Q1 电网交互,展示小时级购电与余电上网。,OK
AF4,figure,appendix,q2_annual_avg_cost.png,outputs/report_assets/appendix_figures/q2_annual_avg_cost.png,Q2 全年平均成本,展示 Q2 年化成本曲线。,OK
AF5,figure,appendix,q2_satisfaction_stacked_bar.png,outputs/report_assets/appendix_figures/q2_satisfaction_stacked_bar.png,Q2 全年达标分类,展示不同日产量下指标达标情况。,OK
AF6,figure,appendix,q2_scenario_cost_boxplot.png,outputs/report_assets/appendix_figures/q2_scenario_cost_boxplot.png,Q2 场景成本分布,展示 24 场景下成本分布。,OK
AF7,figure,appendix,q2_typical_green_indicators.png,outputs/report_assets/appendix_figures/q2_typical_green_indicators.png,Q2 典型场景绿电指标,展示典型场景绿电指标变化。,OK
AF8,figure,appendix,q2_typical_schedule_gantt.png,outputs/report_assets/appendix_figures/q2_typical_schedule_gantt.png,Q2 典型场景开机时段,展示离散调度时段选择。,OK
AF9,figure,appendix,q2_inertia_best_cost.png,outputs/report_assets/appendix_figures/q2_inertia_best_cost.png,Q2 运行惯性约束下的最优成本,展示启动损耗与最小连续运行时间对成本的影响。,OK
AT1,table,appendix,q2_inertia_typical_summary.csv,outputs/report_assets/appendix_tables/q2_inertia_typical_summary.csv,Q2 增强验证典型日汇总,Q2 运行惯性增强验证典型日结果。,OK
AT10,table,appendix,q3_all_scenarios_summary.csv,outputs/report_assets/appendix_tables/q3_all_scenarios_summary.csv,Q3 24 场景连续调节原始汇总表,附录表，保留 Q3 连续调节模型对 24 场景的原始汇总输出。,OK
AT11,table,appendix,q3_all_scenarios_hourly_dispatch.csv,outputs/report_assets/appendix_tables/q3_all_scenarios_hourly_dispatch.csv,Q3 24 场景逐小时连续调节方案表,附录表，用于支撑问题三第一小问的完整逐小时调度方案。,OK
AT12,table,appendix,q3_paper_scenario_min_cost_summary.csv,outputs/report_assets/appendix_tables/q3_paper_scenario_min_cost_summary.csv,Q3 24 场景最小成本方案明细表,附录表，每个风光场景保留一行最小吨氨成本方案。,OK
AT13,table,appendix,q3_paper_scenario_compliance_then_cost_summary.csv,outputs/report_assets/appendix_tables/q3_paper_scenario_compliance_then_cost_summary.csv,Q3 24 场景先达标后降本方案明细表,附录表，按优先满足绿电指标、再最小化吨氨成本的规则选择方案。,OK
AT14,table,appendix,q3_paper_all_candidates_summary.csv,outputs/report_assets/appendix_tables/q3_paper_all_candidates_summary.csv,Q3 多日产量候选方案压缩表,附录表，包含 24 场景与多个日产量组合下的候选方案压缩结果。,OK
AT15,table,appendix,q3_paper_production_classification_annual.csv,outputs/report_assets/appendix_tables/q3_paper_production_classification_annual.csv,Q3 不同日产量满足类型年化分类表,附录表，补充说明不同日产量下全满足、部分满足、全不满足结构。,OK
AT2,table,appendix,q2_inertia_annual_summary.csv,outputs/report_assets/appendix_tables/q2_inertia_annual_summary.csv,Q2 增强验证年化汇总,Q2 启动损耗和最小连续运行时间组合下的年化结果。,OK
AT3,table,appendix,q2_inertia_vs_baseline.csv,outputs/report_assets/appendix_tables/q2_inertia_vs_baseline.csv,Q2 增强验证相对基准对比,Q2 增强模型相对原模型的成本增量。,OK
AT4,table,appendix,robustness_case_summary.csv,outputs/report_assets/appendix_tables/robustness_case_summary.csv,鲁棒性检验逐案例结果,随机扰动、场景留一、压力测试逐案例结果。,OK
AT5,table,appendix,q4_weight_sensitivity_knee_detail.csv,outputs/report_assets/appendix_tables/q4_weight_sensitivity_knee_detail.csv,Q4 目标权重敏感性拐点明细,记录不同权重扰动下各类拐点识别方法的结果。,OK
AT6,table,appendix,q4_weight_sensitivity_tier_detail.csv,outputs/report_assets/appendix_tables/q4_weight_sensitivity_tier_detail.csv,Q4 目标权重敏感性容量层级明细,记录不同权重扰动下经济入口、工程推荐和技术饱和容量。,OK
AT7,table,appendix,q1_hourly_results.csv,outputs/report_assets/appendix_tables/q1_hourly_results.csv,Q1 小时级功率平衡结果,用于回答问题一第一小问，每小时负荷、风光出力、购电和上网电量。,OK
AT8,table,appendix,q2_all_scenarios_summary.csv,outputs/report_assets/appendix_tables/q2_all_scenarios_summary.csv,Q2 24 场景离散调度汇总,用于问题二第二小问和问题三对比，包含各场景成本、购售电和绿电指标。,OK
AT9,table,appendix,q2_all_scenarios_hourly_dispatch.csv,outputs/report_assets/appendix_tables/q2_all_scenarios_hourly_dispatch.csv,Q2 24 场景小时级离散调度,用于附录展示各风光场景下离散开停机方案。,OK
